dateTime,timestamp,status,latitudeCoordinate,longitudeCoordinate,latitude,latitudeDirection,longitude,longitudeDirection,speedOverGround,trueCourse,dateStamp
2020-03-09 00:16:50.022688,05:16:50,A,32.854383500000004,-96.67426249999998,3251.26301,N,09640.45575,W,0.059,,2020-03-09
2020-03-09 00:16:53.024097,05:16:53,A,32.85438316666667,-96.67426233333332,3251.26299,N,09640.45574,W,0.134,,2020-03-09
2020-03-09 00:16:58.024406,05:16:58,A,32.85438,-96.6742605,3251.26280,N,09640.45563,W,0.022,,2020-03-09
2020-03-09 00:17:01.023066,05:17:01,A,32.854380666666664,-96.67426133333332,3251.26284,N,09640.45568,W,0.059,,2020-03-09
2020-03-09 00:17:04.032965,05:17:04,A,32.8543785,-96.67426116666665,3251.26271,N,09640.45567,W,0.057,,2020-03-09
2020-03-09 00:17:07.022429,05:17:07,A,32.854376,-96.67426016666668,3251.26256,N,09640.45561,W,0.203,,2020-03-09
2020-03-09 00:17:13.026903,05:17:13,A,32.854373499999994,-96.67426150000001,3251.26241,N,09640.45569,W,0.026,,2020-03-09
2020-03-09 00:17:16.021935,05:17:16,A,32.854374,-96.67426383333334,3251.26244,N,09640.45583,W,0.094,,2020-03-09
2020-03-09 00:17:21.020856,05:17:21,A,32.85437183333333,-96.67426416666667,3251.26231,N,09640.45585,W,0.015,,2020-03-09
2020-03-09 00:17:24.024473,05:17:24,A,32.854373333333335,-96.67426500000002,3251.26240,N,09640.45590,W,0.077,,2020-03-09
2020-03-09 00:17:27.022906,05:17:27,A,32.85437966666667,-96.67426966666666,3251.26278,N,09640.45618,W,0.12,,2020-03-09
2020-03-09 00:17:30.021399,05:17:30,A,32.8543815,-96.67427100000002,3251.26289,N,09640.45626,W,0.215,,2020-03-09
2020-03-09 00:17:33.024454,05:17:33,A,32.85438033333333,-96.67426933333333,3251.26282,N,09640.45616,W,0.265,,2020-03-09
2020-03-09 00:17:36.025611,05:17:36,A,32.854382,-96.67426916666666,3251.26292,N,09640.45615,W,0.12,,2020-03-09
2020-03-09 00:17:39.023440,05:17:39,A,32.854383500000004,-96.67427033333334,3251.26301,N,09640.45622,W,0.024,,2020-03-09
2020-03-09 00:17:41.026581,05:17:41,A,32.854386,-96.67427266666667,3251.26316,N,09640.45636,W,0.043,,2020-03-09
2020-03-09 00:17:44.025554,05:17:44,A,32.854383,-96.67427016666667,3251.26298,N,09640.45621,W,0.077,,2020-03-09
2020-03-09 00:17:47.026572,05:17:47,A,32.85438083333334,-96.67426783333333,3251.26285,N,09640.45607,W,0.019,,2020-03-09
2020-03-09 00:17:50.022241,05:17:50,A,32.854380666666664,-96.674267,3251.26284,N,09640.45602,W,0.066,,2020-03-09
2020-03-09 00:17:53.026564,05:17:53,A,32.8543815,-96.67426750000001,3251.26289,N,09640.45605,W,0.066,,2020-03-09
2020-03-09 00:17:56.025323,05:17:56,A,32.85438083333334,-96.67426683333333,3251.26285,N,09640.45601,W,0.08,,2020-03-09
2020-03-09 00:17:59.025218,05:17:59,A,32.854383999999996,-96.67426766666668,3251.26304,N,09640.45606,W,0.075,,2020-03-09
2020-03-09 00:18:04.034181,05:18:04,A,32.85438583333334,-96.67426783333333,3251.26315,N,09640.45607,W,0.042,,2020-03-09
2020-03-09 00:18:07.026681,05:18:07,A,32.85438283333334,-96.67426816666666,3251.26297,N,09640.45609,W,0.112,,2020-03-09
2020-03-09 00:18:10.024534,05:18:10,A,32.854381333333336,-96.6742695,3251.26288,N,09640.45617,W,0.058,,2020-03-09
2020-03-09 00:18:13.026052,05:18:13,A,32.854380500000005,-96.67427116666667,3251.26283,N,09640.45627,W,0.069,,2020-03-09
2020-03-09 00:18:16.028220,05:18:16,A,32.854381333333336,-96.67427116666667,3251.26288,N,09640.45627,W,0.022,,2020-03-09
2020-03-09 00:18:19.022669,05:18:19,A,32.854382333333334,-96.67427133333334,3251.26294,N,09640.45628,W,0.046,,2020-03-09
2020-03-09 00:18:21.028188,05:18:21,A,32.85438283333334,-96.67427100000002,3251.26297,N,09640.45626,W,0.071,,2020-03-09
2020-03-09 00:18:24.026409,05:18:24,A,32.85438466666667,-96.67427049999999,3251.26308,N,09640.45623,W,0.02,,2020-03-09
2020-03-09 00:18:27.026632,05:18:27,A,32.85438516666667,-96.67427083333332,3251.26311,N,09640.45625,W,0.12,,2020-03-09
2020-03-09 00:18:30.023296,05:18:30,A,32.85438316666667,-96.674273,3251.26299,N,09640.45638,W,0.227,,2020-03-09
2020-03-09 00:18:32.035128,05:18:32,A,32.8543825,-96.67427283333333,3251.26295,N,09640.45637,W,0.071,,2020-03-09
2020-03-09 00:18:35.026259,05:18:35,A,32.854382333333334,-96.67427266666667,3251.26294,N,09640.45636,W,0.101,,2020-03-09
2020-03-09 00:18:38.026118,05:18:38,A,32.854383,-96.67427183333332,3251.26298,N,09640.45631,W,0.113,,2020-03-09
2020-03-09 00:18:41.025278,05:18:41,A,32.85438516666667,-96.67427283333333,3251.26311,N,09640.45637,W,0.134,,2020-03-09
2020-03-09 00:18:43.027669,05:18:43,A,32.854387333333335,-96.67427183333332,3251.26324,N,09640.45631,W,0.026,,2020-03-09
2020-03-09 00:18:46.024305,05:18:46,A,32.85439066666667,-96.67427283333333,3251.26344,N,09640.45637,W,0.106,,2020-03-09
2020-03-09 00:18:49.026602,05:18:49,A,32.8543925,-96.67427266666667,3251.26355,N,09640.45636,W,0.181,,2020-03-09
2020-03-09 00:18:52.025096,05:18:52,A,32.85439433333333,-96.67427516666666,3251.26366,N,09640.45651,W,0.074,,2020-03-09
2020-03-09 00:18:55.024959,05:18:55,A,32.8543965,-96.67427799999999,3251.26379,N,09640.45668,W,0.043,,2020-03-09
2020-03-09 00:18:58.023996,05:18:58,A,32.854398999999994,-96.6742785,3251.26394,N,09640.45671,W,0.13,,2020-03-09
