dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2020-03-09 00:20:05.303292,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:20:10.328043,0.11,0.00,4.57,63.06,527122.94,131315.61,737.59,0.78
2020-03-09 00:20:15.352734,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:20:20.409317,0.11,0.00,1340.80,35.45,221175.64,62814.82,994104970000.00,4547.96
2020-03-09 00:20:25.434196,0.11,0.00,4.62,69.78,614078.38,149492.97,764.22,0.79
2020-03-09 00:20:30.459330,0.11,0.00,4.55,63.06,527122.94,131315.61,724.70,0.77
2020-03-09 00:20:35.483942,0.11,0.00,4.57,69.78,614078.38,149492.97,737.59,0.78
2020-03-09 00:20:40.524580,0.11,0.00,4.57,69.78,614078.38,149492.97,737.59,0.78
2020-03-09 00:20:45.549540,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:20:50.590074,0.11,0.00,4.60,77.72,722467.31,171617.34,750.76,0.78
2020-03-09 00:20:55.615035,0.11,0.00,4.57,63.06,527122.94,131315.61,737.59,0.78
2020-03-09 00:21:00.655725,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:21:05.696942,0.11,0.00,830.65,35.45,221175.64,62814.82,169009090000.00,2189.49
2020-03-09 00:21:10.721544,0.11,0.00,4.60,69.78,614078.38,149492.97,750.76,0.78
2020-03-09 00:21:15.750420,0.11,0.00,4.47,48.07,350067.19,92764.52,675.83,0.75
2020-03-09 00:22:02.119652,0.09,0.00,4.60,0.75,656.90,448.97,750.76,0.78
2020-03-09 00:22:07.128272,0.09,0.00,3042.85,0.71,611.39,422.42,20631830000000.00,15892.86
2020-03-09 00:22:12.152920,0.09,0.00,4.62,0.75,656.90,448.97,764.22,0.79
2020-03-09 00:22:17.177792,0.09,0.00,4.57,0.74,643.43,441.14,737.59,0.78
2020-03-09 00:22:22.218750,0.09,0.00,4.62,0.74,650.12,445.03,764.22,0.79
2020-03-09 00:22:27.243530,0.09,0.00,4.60,0.74,643.43,441.14,750.76,0.78
2020-03-09 00:22:32.268479,0.09,0.00,4.57,0.73,636.84,437.30,737.59,0.79
2020-03-09 00:22:37.309242,0.09,0.00,4.62,0.73,636.84,437.30,764.22,0.78
2020-03-09 00:22:42.350029,0.10,0.00,1340.80,0.69,581.54,404.84,750.76,0.78
2020-03-09 00:22:47.390777,0.09,0.00,4.62,0.73,630.34,433.51,994104970000.00,4547.96
2020-03-09 00:22:52.415481,0.10,0.00,3042.85,0.68,575.81,401.45,764.22,0.79
2020-03-09 00:22:57.440376,0.09,0.00,4.62,0.72,623.93,422.42,737.59,0.78
2020-03-09 00:23:02.481060,0.10,0.00,4.57,0.71,611.39,426.07,764.22,0.79
2020-03-09 00:23:07.506016,0.10,0.00,4.62,0.71,611.39,418.81,737.59,0.78
2020-03-09 00:23:12.546773,0.10,0.00,4.62,0.71,605.25,418.81,750.76,0.78
2020-03-09 00:23:17.571634,0.10,0.00,4.60,0.71,611.39,422.42,764.22,0.79
2020-03-09 00:23:22.612510,0.10,0.00,4.62,1144.42,41683492.00,5369415.50,699.74,0.76
2020-03-09 00:23:27.637187,0.10,0.00,3042.85,0.71,605.25,418.81,764.22,0.79
2020-03-09 00:23:32.694196,0.10,0.00,1340.80,707.46,20184244.00,2900717.80,994104970000.00,4547.96
2020-03-09 00:23:37.703001,0.10,0.00,4.60,0.70,593.23,411.74,750.76,0.78
2020-03-09 00:23:42.743863,0.10,0.00,4.57,0.69,587.34,408.27,737.59,0.78
2020-03-09 00:23:47.768707,0.10,0.00,4.60,0.70,593.23,411.74,750.76,0.78
2020-03-09 00:23:52.809501,0.10,0.00,4.60,0.69,581.54,404.84,750.76,0.78
2020-03-09 00:23:57.834418,0.10,0.00,4.57,0.69,587.34,408.27,737.59,0.78
2020-03-09 00:24:02.875115,0.10,0.00,4.62,0.69,587.34,408.27,764.22,0.79
2020-03-09 00:24:07.932037,0.10,0.00,3042.85,359.25,7265376.50,1218204.30,20631830000000.00,15892.86
2020-03-09 00:24:12.925058,0.10,0.00,4.62,0.69,581.54,404.84,764.22,0.79
2020-03-09 00:24:17.997806,0.10,0.00,1340.80,277.67,4927021.50,875994.00,994104970000.00,4547.96
2020-03-09 00:24:22.990788,0.10,0.00,4.60,0.68,575.81,401.45,750.76,0.78
2020-03-09 00:24:28.031582,0.10,0.00,4.57,0.68,575.81,401.45,737.59,0.78
2020-03-09 00:24:33.056415,0.10,0.00,4.62,0.68,575.81,401.45,764.22,0.79
2020-03-09 00:24:38.097942,0.10,0.00,4.57,0.68,570.16,398.11,737.59,0.78
